Decade;Probands_region;MeanF;FCIlower;FCIhigher;MeanPhi;PhiCIlower;PhiCIhigher
1760;SLSJ;0.000310647166013925;0.000227;0.000417;0.000603446578770347;0.000562942768695492;0.000645343158263852
1770;Beauce;0.000589134579613095;0.000468;0.000759;0.00105029238971316;0.000992324429316178;0.0011134550028135
1770;Montreal;0.000586723522958689;0.000524;0.000661;0.000360409029494112;0.000352367704149784;0.000368498917881329
1770;SLSJ;0.000701164398128456;0.000568;0.000851;0.000776866551488672;0.000728995316045954;0.000827316565516772
1780;Beauce;0.00134102730819246;0.001091;0.001665;0.00116844744019042;0.00110344272455037;0.0012335683538441
1780;Montreal;0.00107819756245567;0.000992;0.001178;0.000390922129264101;0.00038295566913916;0.000399130397710895
1780;SLSJ;0.00161690877363665;0.001391;0.001896;0.000915868029403628;0.000857387693993861;0.000977883504543795
1790;Beauce;0.00191497802734375;0.001655;0.002232;0.00118717845560909;0.00112615627276205;0.00124746376276272
1790;Montreal;0.00146853341389823;0.001372;0.001576;0.000357473127287185;0.000350882751908801;0.000364278780588164
1790;SLSJ;0.00256245552828764;0.002262;0.002909;0.00107742926415482;0.000997230281145907;0.0011581023494929
1800;Beauce;0.00237671460973502;0.002089;0.002739;0.00134677567040804;0.00128653867507628;0.00140995824749003
1800;Montreal;0.00185491998059862;0.001754;0.001962;0.000386606805525509;0.000380495467739018;0.00039305685395747
1800;SLSJ;0.00402668625278879;0.003659;0.004431;0.00146711169756347;0.00133343896374778;0.00160500881653081
1810;Beauce;0.00266193710148778;0.002393;0.002969;0.00145507577426919;0.00139562720738038;0.00151573721454535
1810;Montreal;0.0021869925302382;0.002084;0.002294;0.000399973799794264;0.000393946788715341;0.000406215472633892
1810;SLSJ;0.0050543093213848;0.004665;0.00547;0.00196969376444538;0.00179826691044293;0.00215273644261649
1820;Beauce;0.00284329809323706;0.002556;0.00316;0.0014976220943403;0.0014202914847067;0.00157634341316486
1820;Montreal;0.00245493536348396;0.002346;0.002562;0.000391627663028735;0.000386204415694208;0.000397203417978081
